Date,Open,High,Low,Close,Adj_Close,Volume
2012-01-02,10236.75,10249.90039,10085.59961,10103.9502,10103.9502,5966000
2012-01-03,10153.29981,10260.7002,10153.29981,10215.7002,10215.7002,9918000
2012-01-04,10246.34961,10246.34961,10115.59961,10151.5,10151.5,17048000
2012-01-05,10134.34961,10175.75,10069.79981,10130.79981,10130.79981,17488000
2012-01-06,10111.75,10239.25,10056.09961,10206.75,10206.75,12126000
2012-01-07,null,null,null,null,null,null
2012-01-09,10183.2002,10201.9502,10115,10183.2002,10183.2002,10154000
2012-01-10,10189.15039,10318.04981,10189.15039,10298,10298,11225000
2012-01-11,10305.54981,10338.5,10218.7002,10241.15039,10241.15039,12959000
2012-01-12,10239.40039,10322.25,10235.2002,10314,10314,15276000
2012-01-13,10311.75,10400.9502,10295.5,10354.75,10354.75,20365000
2012-01-16,10345.54981,10437.40039,10327,10415.59961,10415.59961,21169000
2012-01-17,10419.5,10505.54981,10412.40039,10483.04981,10483.04981,24309000
2012-01-18,10463.59961,10502.4502,10386.29981,10465.40039,10465.40039,15837000
2012-01-19,10490.4502,10528.54981,10422.65039,10451.15039,10451.15039,19849000
2012-01-20,10475.59961,10516.29981,10164.84961,10211.65039,10211.65039,25772000
2012-01-23,10221.54981,10354.4502,10133.04981,10315.79981,10315.79981,17450000
2012-01-24,10350.2002,10371.59961,10306.15039,10331.34961,10331.34961,17093000
2012-01-25,10349.09961,10409.4502,10322.54981,10389.4502,10389.4502,26958000
2012-01-27,10465.04981,10471.90039,10182.7002,10257.84961,10257.84961,25457000
2012-01-30,10253,10318.15039,10163.5,10188.75,10188.75,23695000
2012-01-31,10255.7002,10345.04981,10224.5,10327.7002,10327.7002,43156000
2012-02-01,10315.04981,10343.34961,10251.09961,10326.09961,10326.09961,31031000
2012-02-02,10345.59961,10363.79981,10283.25,10309.15039,10309.15039,28833000
2012-02-03,10316.09961,10490.5,10272.9502,10466.09961,10466.09961,31562000
2012-02-06,10528.59961,10576.90039,10421.9502,10451.79981,10451.79981,29779000
2012-02-07,10513.54981,10518.34961,10424.59961,10484.09961,10484.09961,28864000
2012-02-08,10500,10570.90039,10425.84961,10498.54981,10498.54981,24616000
2012-02-09,10455.54981,10554.25,10453.65039,10528.54981,10528.54981,24529000
2012-02-10,10525.2002,10564.2002,10456.29981,10496.15039,10496.15039,20462000
2012-02-13,10501.54981,10537.15039,10456.04981,10479.54981,10479.54981,17691000
2012-02-14,10470.9502,10534.09961,10467.40039,10485.4502,10485.4502,15995000
2012-02-15,10511.25,10545.75,10471.9502,10505.29981,10505.29981,21547000
2012-02-16,10517.90039,10530.2002,10463.75,10499.5,10499.5,23732000
2012-02-17,10513.25,10562.7002,10495.2002,10545.54981,10545.54981,25904000
2012-02-21,10554.7002,10656.59961,10554.7002,10589.09961,10589.09961,22133000
2012-02-22,10572.65039,10623.40039,10454.09961,10528.04981,10528.04981,28252000
2012-02-23,10529.29981,10652.04981,10529.29981,10604.4502,10604.4502,31295000
2012-02-24,10612.79981,10700.9502,10581.54981,10629.5,10629.5,15166000
2012-02-27,10662.40039,10747.15039,10614.4502,10654.90039,10654.90039,24773000
2012-02-28,10653.90039,10725.5,10626.90039,10642.75,10642.75,19952000
2012-02-29,10656.09961,10753.25,10537.29981,10560.29981,10560.29981,26587000
2012-03-01,10555.09961,10597,10467.65039,10517.54981,10517.54981,13586000
2012-03-02,10520.84961,10555.34961,10404.75,10482.2002,10482.2002,14966000
2012-03-03,null,null,null,null,null,null
2012-03-05,10459.04981,10522.9502,10389.34961,10494.54981,10494.54981,14706000
2012-03-06,10471.4502,10673.40039,10424.09961,10574.90039,10574.90039,18511000
2012-03-07,10569.25,10621,10510.7002,10580.5,10580.5,13904000
2012-03-09,10629.84961,10692.04981,10540.75,10561.59961,10561.59961,18891000
2012-03-12,10629.2002,10630.04981,10520.65039,10570.7002,10570.7002,14031000
2012-03-13,10578.79981,10705.9502,10578.79981,10692.59961,10692.59961,17897000
2012-03-14,10735.7002,10810.25,10735.7002,10784,10784,19123000
2012-03-15,10781.4502,10798.34961,10622.9502,10692.09961,10692.09961,21443000
2012-03-16,10683.40039,11149.4502,10683.40039,10894.59961,10894.59961,55113000
2012-03-19,10923,11106.79981,10877.9502,11020.40039,11020.40039,38127000
2012-03-20,11025.75,11169.09961,10999.34961,11136.84961,11136.84961,19828000
2012-03-21,11135.75,11279.2002,11105.04981,11241.59961,11241.59961,24942000
2012-03-22,11241.7002,11363.59961,11009.34961,11053.40039,11053.40039,22612000
2012-03-23,11105.04981,11244.29981,11071.4502,11165.90039,11165.90039,17564000
2012-03-26,11180.90039,11228.15039,11102,11165.34961,11165.34961,16620000
2012-03-27,11205.7002,11396.29981,11174.79981,11359.79981,11359.79981,18068000
2012-03-28,11355.7002,11423.40039,11315,11371.15039,11371.15039,18106000
2012-03-29,11283.79981,11368.79981,11198.65039,11292,11292,23853000
2012-03-30,11298,11448.29981,11298,11426.04981,11426.04981,19537000
2012-04-02,11430.25,11458.2002,11391.25,11438.7002,11438.7002,18688000
